,new_cases,china new cases
2020-01-23 00:00:00,2,93
2020-01-24 00:00:00,0,277
2020-01-25 00:00:00,3,483
2020-01-26 00:00:00,3,666
2020-01-27 00:00:00,0,802
2020-01-28 00:00:00,0,2632
2020-01-29 00:00:00,2,576
2020-01-30 00:00:00,0,2054
2020-01-31 00:00:00,2,1659
2020-02-01 00:00:00,1,2088
2020-02-02 00:00:00,2,4737
2020-02-03 00:00:00,0,3086
2020-02-04 00:00:00,2,3989
2020-02-05 00:00:00,4,3729
2020-02-06 00:00:00,3,3144
2020-02-07 00:00:00,1,3522
2020-02-08 00:00:00,1,2703
2020-02-09 00:00:00,3,3012
2020-02-10 00:00:00,9,2516
2020-02-11 00:00:00,11,2021
2020-02-12 00:00:00,1,372
2020-02-13 00:00:00,3,15133
2020-02-14 00:00:00,3,6460
2020-02-15 00:00:00,0,2055
2020-02-16 00:00:00,1,2099
2020-02-17 00:00:00,3,1918
2020-02-18 00:00:00,2,1775
2020-02-19 00:00:00,1,407
2020-02-20 00:00:00,5,453
2020-02-21 00:00:00,0,473
2020-02-22 00:00:00,1,1450
2020-02-23 00:00:00,5,16
2020-02-24 00:00:00,5,214
2020-02-25 00:00:00,5,508
2020-02-26 00:00:00,7,405
2020-02-27 00:00:00,1,433
2020-02-28 00:00:00,2,326
2020-02-29 00:00:00,1,427
2020-03-01 00:00:00,1,575
2020-03-02 00:00:00,4,200
2020-03-03 00:00:00,0,125
2020-03-04 00:00:00,5,120
2020-03-05 00:00:00,0,151
2020-03-06 00:00:00,2,151
2020-03-07 00:00:00,1,79
2020-03-08 00:00:00,6,47
2020-03-09 00:00:00,1,36
2020-03-10 00:00:00,5,22
2020-03-11 00:00:00,6,28
2020-03-12 00:00:00,3,8
2020-03-13 00:00:00,5,8
2020-03-14 00:00:00,6,26
2020-03-15 00:00:00,5,21
2020-03-16 00:00:00,10,20
2020-03-17 00:00:00,7,18
2020-03-18 00:00:00,19,25
2020-03-19 00:00:00,27,27
2020-03-20 00:00:00,48,46
2020-03-21 00:00:00,17,38
2020-03-22 00:00:00,44,86
2020-03-23 00:00:00,34,24
2020-03-24 00:00:00,31,63
2020-03-25 00:00:00,25,46
2020-03-26 00:00:00,45,78
2020-03-27 00:00:00,42,49
2020-03-28 00:00:00,32,60
2020-03-29 00:00:00,51,43
2020-03-30 00:00:00,46,35
2020-03-31 00:00:00,57,1590
2020-04-01 00:00:00,57,159
2020-04-02 00:00:00,47,80
2020-04-03 00:00:00,47,89
2020-04-04 00:00:00,22,76
2020-04-05 00:00:00,29,75
2020-04-06 00:00:00,32,112
2020-04-07 00:00:00,21,60
2020-04-08 00:00:00,25,192
2020-04-09 00:00:00,13,102
2020-04-10 00:00:00,16,75
2020-04-11 00:00:00,11,82
2020-04-12 00:00:00,4,165
2020-04-13 00:00:00,5,107
2020-04-14 00:00:00,3,77
2020-04-15 00:00:00,4,95
2020-04-16 00:00:00,1,105
2020-04-17 00:00:00,4,409
2020-04-18 00:00:00,2,69
2020-04-19 00:00:00,2,61
2020-04-20 00:00:00,0,61
2020-04-21 00:00:00,4,66
2020-04-22 00:00:00,4,52
2020-04-23 00:00:00,2,38
2020-04-24 00:00:00,0,46
2020-04-25 00:00:00,2,36
2020-04-26 00:00:00,0,29
2020-04-27 00:00:00,0,31
2020-04-28 00:00:00,0,62
2020-04-29 00:00:00,0,29
2020-04-30 00:00:00,0,45
2020-05-01 00:00:00,2,20
2020-05-02 00:00:00,0,8
2020-05-03 00:00:00,0,0
2020-05-04 00:00:00,1,0
2020-05-05 00:00:00,0,17
2020-05-06 00:00:00,0,22
2020-05-07 00:00:00,4,7
2020-05-08 00:00:00,0,17
2020-05-09 00:00:00,0,29
2020-05-10 00:00:00,3,36
2020-05-11 00:00:00,0,7
2020-05-12 00:00:00,0,22
2020-05-13 00:00:00,3,11
2020-05-14 00:00:00,1,15
2020-05-15 00:00:00,1,19
2020-05-16 00:00:00,0,18
2020-05-17 00:00:00,3,19
2020-05-18 00:00:00,0,27
2020-05-19 00:00:00,0,16
2020-05-20 00:00:00,0,16
2020-05-21 00:00:00,8,31
2020-05-22 00:00:00,2,43
2020-05-23 00:00:00,0,31
2020-05-24 00:00:00,0,47
2020-05-25 00:00:00,0,47
2020-05-26 00:00:00,0,30
2020-05-27 00:00:00,1,30
2020-05-28 00:00:00,0,23
2020-05-29 00:00:00,13,9
2020-05-30 00:00:00,3,6
2020-05-31 00:00:00,2,19
2020-06-01 00:00:00,3,21
2020-06-02 00:00:00,6,9
2020-06-03 00:00:00,0,3
2020-06-04 00:00:00,6,9
2020-06-05 00:00:00,3,5
2020-06-06 00:00:00,3,8
2020-06-07 00:00:00,1,8
2020-06-08 00:00:00,1,5
2020-06-09 00:00:00,0,23
2020-06-10 00:00:00,0,16
2020-06-11 00:00:00,0,10
2020-06-12 00:00:00,1,11
2020-06-13 00:00:00,1,64
2020-06-14 00:00:00,0,56
2020-06-15 00:00:00,3,58
2020-06-16 00:00:00,0,50
2020-06-17 00:00:00,8,33
2020-06-18 00:00:00,4,40
2020-06-19 00:00:00,3,3
2020-06-20 00:00:00,1,62
2020-06-21 00:00:00,3,20
2020-06-22 00:00:00,30,28
2020-06-23 00:00:00,16,19
2020-06-24 00:00:00,2,20
2020-06-25 00:00:00,14,15
2020-06-26 00:00:00,3,25
2020-06-27 00:00:00,1,28
2020-06-28 00:00:00,2,17
2020-06-29 00:00:00,4,24
2020-06-30 00:00:00,2,4
2020-07-01 00:00:00,28,5
2020-07-02 00:00:00,9,7
2020-07-03 00:00:00,5,7
2020-07-04 00:00:00,11,12
2020-07-05 00:00:00,10,10
2020-07-06 00:00:00,17,12
2020-07-07 00:00:00,14,27
2020-07-08 00:00:00,24,15
2020-07-09 00:00:00,42,5
2020-07-10 00:00:00,38,3
2020-07-11 00:00:00,28,17
2020-07-12 00:00:00,38,13
2020-07-13 00:00:00,52,6
2020-07-14 00:00:00,48,14
2020-07-15 00:00:00,19,5
2020-07-16 00:00:00,67,16
2020-07-17 00:00:00,58,22
2020-07-18 00:00:00,64,30
2020-07-19 00:00:00,108,63
2020-07-20 00:00:00,73,23
2020-07-21 00:00:00,60,18
2020-07-22 00:00:00,113,47
2020-07-23 00:00:00,118,36
2020-07-24 00:00:00,123,66
2020-07-25 00:00:00,133,102
2020-07-26 00:00:00,128,112
2020-07-27 00:00:00,145,81
2020-07-28 00:00:00,106,111
2020-07-29 00:00:00,118,81
2020-07-30 00:00:00,149,136
2020-07-31 00:00:00,121,20
2020-08-01 00:00:00,124,66
2020-08-02 00:00:00,115,59
2020-08-03 00:00:00,78,41
2020-08-04 00:00:00,80,46
2020-08-05 00:00:00,85,61
2020-08-06 00:00:00,95,56
2020-08-07 00:00:00,89,45
2020-08-08 00:00:00,69,37
2020-08-09 00:00:00,72,60
2020-08-10 00:00:00,69,72
2020-08-11 00:00:00,33,34
2020-08-12 00:00:00,62,43
2020-08-13 00:00:00,69,50
2020-08-14 00:00:00,48,50
2020-08-15 00:00:00,46,38
2020-08-16 00:00:00,74,37
2020-08-17 00:00:00,44,58
2020-08-18 00:00:00,36,34
2020-08-19 00:00:00,26,19
2020-08-20 00:00:00,18,44
2020-08-21 00:00:00,27,42
2020-08-22 00:00:00,26,45
2020-08-23 00:00:00,25,31
2020-08-24 00:00:00,9,40
2020-08-25 00:00:00,19,31
2020-08-26 00:00:00,24,17
2020-08-27 00:00:00,21,27
2020-08-28 00:00:00,13,23
2020-08-29 00:00:00,18,16
2020-08-30 00:00:00,15,21
2020-08-31 00:00:00,9,29
2020-09-01 00:00:00,12,41
2020-09-02 00:00:00,8,31
2020-09-03 00:00:00,8,35
2020-09-04 00:00:00,12,34
2020-09-05 00:00:00,7,18
2020-09-06 00:00:00,21,28
2020-09-07 00:00:00,11,25
2020-09-08 00:00:00,6,14
2020-09-09 00:00:00,6,14
2020-09-10 00:00:00,12,30
2020-09-11 00:00:00,12,27
2020-09-12 00:00:00,13,17
2020-09-13 00:00:00,19,80
2020-09-14 00:00:00,14,46
2020-09-15 00:00:00,4,19
2020-09-16 00:00:00,9,23
2020-09-17 00:00:00,9,46
2020-09-18 00:00:00,3,32
2020-09-19 00:00:00,13,34
2020-09-20 00:00:00,23,33
2020-09-21 00:00:00,6,31
2020-09-22 00:00:00,8,25
2020-09-23 00:00:00,3,22
2020-09-24 00:00:00,7,28
2020-09-25 00:00:00,2,32
2020-09-26 00:00:00,1,44
2020-09-27 00:00:00,6,42
2020-09-28 00:00:00,10,26
2020-09-29 00:00:00,4,43
2020-09-30 00:00:00,8,29
2020-10-01 00:00:00,10,22
2020-10-02 00:00:00,7,42
2020-10-03 00:00:00,4,27
2020-10-04 00:00:00,5,41
2020-10-05 00:00:00,11,39
2020-10-06 00:00:00,8,37
2020-10-07 00:00:00,11,29
2020-10-08 00:00:00,18,28
2020-10-09 00:00:00,8,30
2020-10-10 00:00:00,6,60
2020-10-11 00:00:00,7,48
2020-10-12 00:00:00,11,38
2020-10-13 00:00:00,8,33
2020-10-14 00:00:00,0,22
2020-10-15 00:00:00,12,45
2020-10-16 00:00:00,7,21
2020-10-17 00:00:00,17,23
2020-10-18 00:00:00,4,47
2020-10-19 00:00:00,15,52
2020-10-20 00:00:00,5,33
2020-10-21 00:00:00,8,26
2020-10-22 00:00:00,11,42
2020-10-23 00:00:00,4,39
2020-10-24 00:00:00,5,40
2020-10-25 00:00:00,6,35
2020-10-26 00:00:00,8,175
2020-10-27 00:00:00,5,90
2020-10-28 00:00:00,2,61
2020-10-29 00:00:00,3,17
2020-10-30 00:00:00,7,86
2020-10-31 00:00:00,3,53
2020-11-01 00:00:00,7,90
2020-11-02 00:00:00,6,77
2020-11-03 00:00:00,9,69
2020-11-04 00:00:00,3,151
2020-11-05 00:00:00,7,50
2020-11-06 00:00:00,6,56
2020-11-07 00:00:00,3,53
2020-11-08 00:00:00,10,66
2020-11-09 00:00:00,6,30
2020-11-10 00:00:00,9,41
2020-11-11 00:00:00,18,28
2020-11-12 00:00:00,23,9
2020-11-13 00:00:00,6,32
2020-11-14 00:00:00,8,19
2020-11-15 00:00:00,14,10
2020-11-16 00:00:00,8,27
2020-11-17 00:00:00,4,18
2020-11-18 00:00:00,9,15
2020-11-19 00:00:00,12,23
2020-11-20 00:00:00,26,29
2020-11-21 00:00:00,43,35
2020-11-22 00:00:00,68,21
2020-11-23 00:00:00,73,31
2020-11-24 00:00:00,80,7
2020-11-25 00:00:00,85,26
2020-11-26 00:00:00,81,6
2020-11-27 00:00:00,92,14
2020-11-28 00:00:00,84,14
2020-11-29 00:00:00,115,27
2020-11-30 00:00:00,76,27
2020-12-01 00:00:00,82,9
2020-12-02 00:00:00,103,19
2020-12-03 00:00:00,90,22
2020-12-04 00:00:00,112,27
2020-12-05 00:00:00,101,29
2020-12-06 00:00:00,95,11
2020-12-07 00:00:00,78,20
2020-12-08 00:00:00,100,16
2020-12-09 00:00:00,104,12
2020-12-10 00:00:00,112,18
2020-12-11 00:00:00,86,18
2020-12-12 00:00:00,69,39
2020-12-13 00:00:00,95,25
2020-12-14 00:00:00,82,25
2020-12-15 00:00:00,98,17
2020-12-16 00:00:00,82,15
2020-12-17 00:00:00,96,18
2020-12-18 00:00:00,70,27
2020-12-19 00:00:00,109,39
2020-12-20 00:00:00,74,32
2020-12-21 00:00:00,85,29
2020-12-22 00:00:00,63,30
2020-12-23 00:00:00,53,30
2020-12-24 00:00:00,71,27
2020-12-25 00:00:00,57,36
2020-12-26 00:00:00,59,41
2020-12-27 00:00:00,70,35
2020-12-28 00:00:00,61,43
2020-12-29 00:00:00,53,25
2020-12-30 00:00:00,54,38
2020-12-31 00:00:00,68,22
2021-01-01 00:00:00,42,36
2021-01-02 00:00:00,35,47
2021-01-03 00:00:00,41,36
2021-01-04 00:00:00,53,69
2021-01-05 00:00:00,32,64
2021-01-06 00:00:00,25,119
2021-01-07 00:00:00,33,128
2021-01-08 00:00:00,45,85
2021-01-09 00:00:00,59,106
2021-01-10 00:00:00,31,97
2021-01-11 00:00:00,41,100
2021-01-12 00:00:00,60,191
2021-01-13 00:00:00,42,134
2021-01-14 00:00:00,29,212
2021-01-15 00:00:00,38,176
2021-01-16 00:00:00,50,168
2021-01-17 00:00:00,55,196
2021-01-18 00:00:00,107,172
2021-01-19 00:00:00,56,134
2021-01-20 00:00:00,77,163
2021-01-21 00:00:00,70,168
2021-01-22 00:00:00,61,199
2021-01-23 00:00:00,81,149
2021-01-24 00:00:00,76,195
2021-01-25 00:00:00,73,42
2021-01-26 00:00:00,64,97
2021-01-27 00:00:00,60,112
2021-01-28 00:00:00,39,69
2021-01-29 00:00:00,50,82
2021-01-30 00:00:00,28,101
2021-01-31 00:00:00,53,3
2021-02-01 00:00:00,34,41
2021-02-02 00:00:00,25,34
2021-02-03 00:00:00,19,32
2021-02-04 00:00:00,22,26
2021-02-05 00:00:00,37,38
2021-02-06 00:00:00,19,20
2021-02-07 00:00:00,27,25
2021-02-08 00:00:00,32,30
2021-02-09 00:00:00,26,28
2021-02-10 00:00:00,17,6
2021-02-11 00:00:00,21,28
2021-02-12 00:00:00,24,12
2021-02-13 00:00:00,12,20
2021-02-14 00:00:00,12,25
2021-02-15 00:00:00,9,23
2021-02-16 00:00:00,8,16
2021-02-17 00:00:00,16,16
2021-02-18 00:00:00,8,30
2021-02-19 00:00:00,13,16
2021-02-20 00:00:00,15,18
2021-02-21 00:00:00,20,16
2021-02-22 00:00:00,16,16
2021-02-23 00:00:00,12,20
2021-02-24 00:00:00,17,15
2021-02-25 00:00:00,13,14
2021-02-26 00:00:00,25,15
2021-02-27 00:00:00,32,12
2021-02-28 00:00:00,22,25
2021-03-01 00:00:00,14,23
2021-03-02 00:00:00,13,14
2021-03-03 00:00:00,14,26
2021-03-04 00:00:00,9,21
2021-03-05 00:00:00,11,20
2021-03-06 00:00:00,8,37
2021-03-07 00:00:00,16,25
2021-03-08 00:00:00,9,23
2021-03-09 00:00:00,21,14
2021-03-10 00:00:00,8,27
2021-03-11 00:00:00,22,18
2021-03-12 00:00:00,60,14
2021-03-13 00:00:00,47,27
2021-03-14 00:00:00,24,15
2021-03-15 00:00:00,30,21
2021-03-16 00:00:00,18,9
2021-03-17 00:00:00,11,20
2021-03-18 00:00:00,10,17
2021-03-19 00:00:00,13,9
2021-03-20 00:00:00,8,19
2021-03-21 00:00:00,8,11
2021-03-22 00:00:00,18,16
2021-03-23 00:00:00,12,23
2021-03-24 00:00:00,10,18
2021-03-25 00:00:00,9,19
2021-03-26 00:00:00,11,43
2021-03-27 00:00:00,6,35
2021-03-28 00:00:00,1,27
2021-03-29 00:00:00,8,23
2021-03-30 00:00:00,7,14
2021-03-31 00:00:00,6,22
2021-04-01 00:00:00,13,47
2021-04-02 00:00:00,19,47
2021-04-03 00:00:00,2,36
2021-04-04 00:00:00,7,47
2021-04-05 00:00:00,16,39
2021-04-06 00:00:00,7,16
2021-04-07 00:00:00,8,29
2021-04-08 00:00:00,10,22
2021-04-09 00:00:00,14,25
2021-04-10 00:00:00,5,18
2021-04-11 00:00:00,13,38
2021-04-12 00:00:00,13,19
2021-04-13 00:00:00,13,26
2021-04-14 00:00:00,5,20
2021-04-15 00:00:00,6,26
2021-04-16 00:00:00,17,46
2021-04-17 00:00:00,18,33
2021-04-18 00:00:00,30,22
2021-04-19 00:00:00,12,23
2021-04-20 00:00:00,8,28
2021-04-21 00:00:00,1,13
2021-04-22 00:00:00,14,34
2021-04-23 00:00:00,9,30
2021-04-24 00:00:00,3,23
2021-04-25 00:00:00,6,25
2021-04-26 00:00:00,4,28
2021-04-27 00:00:00,8,22
2021-04-28 00:00:00,7,32
2021-04-29 00:00:00,15,26
2021-04-30 00:00:00,4,34
2021-05-01 00:00:00,8,27
2021-05-02 00:00:00,2,27
2021-05-03 00:00:00,2,29
2021-05-04 00:00:00,4,22
2021-05-05 00:00:00,6,14
2021-05-06 00:00:00,2,18
2021-05-07 00:00:00,3,24
2021-05-08 00:00:00,5,18
2021-05-09 00:00:00,1,20
2021-05-10 00:00:00,4,32
2021-05-11 00:00:00,1,37
2021-05-12 00:00:00,2,16
2021-05-13 00:00:00,3,20
2021-05-14 00:00:00,1,36
2021-05-15 00:00:00,3,43
2021-05-16 00:00:00,3,43
2021-05-17 00:00:00,1,36
2021-05-18 00:00:00,1,28
2021-05-19 00:00:00,1,24
2021-05-20 00:00:00,1,39
2021-05-21 00:00:00,1,35
2021-05-22 00:00:00,1,41
2021-05-23 00:00:00,2,37
2021-05-24 00:00:00,1,36
2021-05-25 00:00:00,2,29
2021-05-26 00:00:00,1,30
2021-05-27 00:00:00,0,28
2021-05-28 00:00:00,0,42
2021-05-29 00:00:00,1,23
2021-05-30 00:00:00,0,49
2021-05-31 00:00:00,4,26
2021-06-01 00:00:00,7,36
2021-06-02 00:00:00,0,39
2021-06-03 00:00:00,1,38
2021-06-04 00:00:00,1,42
2021-06-05 00:00:00,1,52
2021-06-06 00:00:00,7,29
2021-06-07 00:00:00,7,51
2021-06-08 00:00:00,3,20
2021-06-09 00:00:00,4,29
2021-06-10 00:00:00,2,47
2021-06-11 00:00:00,0,56
2021-06-12 00:00:00,3,59
2021-06-13 00:00:00,0,34
2021-06-14 00:00:00,1,41
2021-06-15 00:00:00,2,45
2021-06-16 00:00:00,1,53
2021-06-17 00:00:00,0,43
2021-06-18 00:00:00,3,51
2021-06-19 00:00:00,1,62
2021-06-20 00:00:00,1,28
2021-06-21 00:00:00,3,40
2021-06-22 00:00:00,7,42
2021-06-23 00:00:00,2,25
2021-06-24 00:00:00,7,35
2021-06-25 00:00:00,4,43
2021-06-26 00:00:00,2,35
2021-06-27 00:00:00,6,41
2021-06-28 00:00:00,3,38
2021-06-29 00:00:00,1,35
2021-06-30 00:00:00,2,20
2021-07-01 00:00:00,4,33
2021-07-02 00:00:00,11,42
2021-07-03 00:00:00,1,26
2021-07-04 00:00:00,3,38
2021-07-05 00:00:00,1,35
2021-07-06 00:00:00,1,82
2021-07-07 00:00:00,1,55
2021-07-08 00:00:00,3,30
2021-07-09 00:00:00,1,48
2021-07-10 00:00:00,1,13
2021-07-11 00:00:00,1,67
2021-07-12 00:00:00,0,38
2021-07-13 00:00:00,1,43
2021-07-14 00:00:00,3,34
2021-07-15 00:00:00,0,43
2021-07-16 00:00:00,1,49
2021-07-17 00:00:00,0,44
2021-07-18 00:00:00,2,54
2021-07-19 00:00:00,0,78
2021-07-20 00:00:00,7,18
2021-07-21 00:00:00,5,95
2021-07-22 00:00:00,1,58
2021-07-23 00:00:00,2,61
2021-07-24 00:00:00,2,50
2021-07-25 00:00:00,3,87
2021-07-26 00:00:00,0,82
2021-07-27 00:00:00,1,96
2021-07-28 00:00:00,1,57
2021-07-29 00:00:00,2,78
2021-07-30 00:00:00,2,76
2021-07-31 00:00:00,0,93
2021-08-01 00:00:00,3,129
2021-08-02 00:00:00,3,143
2021-08-03 00:00:00,4,137
2021-08-04 00:00:00,2,92
2021-08-05 00:00:00,6,177
2021-08-06 00:00:00,2,159
2021-08-07 00:00:00,7,122
2021-08-08 00:00:00,2,131
2021-08-09 00:00:00,2,139
2021-08-10 00:00:00,4,105
2021-08-11 00:00:00,1,92
2021-08-12 00:00:00,5,136
2021-08-13 00:00:00,5,67
2021-08-14 00:00:00,2,65
2021-08-15 00:00:00,1,76
2021-08-16 00:00:00,3,53
2021-08-17 00:00:00,3,44
2021-08-18 00:00:00,3,63
2021-08-19 00:00:00,5,57
2021-08-20 00:00:00,2,48
2021-08-21 00:00:00,3,49
2021-08-22 00:00:00,5,40
2021-08-23 00:00:00,5,48
2021-08-24 00:00:00,7,24
2021-08-25 00:00:00,5,34
2021-08-26 00:00:00,3,47
2021-08-27 00:00:00,17,40
2021-08-28 00:00:00,6,39
2021-08-29 00:00:00,7,39
2021-08-30 00:00:00,3,57
2021-08-31 00:00:00,2,29
2021-09-01 00:00:00,1,40
2021-09-02 00:00:00,0,46
2021-09-03 00:00:00,0,46
2021-09-04 00:00:00,1,43
2021-09-05 00:00:00,8,38
2021-09-06 00:00:00,2,49
2021-09-07 00:00:00,6,26
2021-09-08 00:00:00,2,39
2021-09-09 00:00:00,2,23
